OBJECTID,Neighborhood Name,Primary Ward,HasData,ORIGINAL_OID,Percent Minority Population,Total Population,Population Under 200% of Poverty,Population for which poverty status is determined,"Percent Non-Working Age (0-17, 65+)",Percent Seniors,Percent Children,Percent Unemployed,KeyField,HeatSeverity,PCTTreeCover,AREASqKm,PopDensity,PopAdjFactor,GOAL,GAP,GapScore,PriorityIndex,TreeEquityScore,PCTPoverty,Status,TES,AreaSqMi,PopDens_SqMi,PriorityCategory,Shape__Area,Shape__Length,Percent Working Age (18-64)
84,Kolb Executive Park,2,1,452,0,0,0,0,0,0,0,0,452,4.72058823529412,5.32250535037504,0.058128246541264,0,1.2,18,12.677494649625,,,,,,,0.0224434414647935,0,,625720.366821289,3422.73404342853,0
85,El Sahuaro,3,1,239,69.44,36,11,25,33.33,19.44,13.89,21.43,239,6.73275862068965,4.58038224768015,0.108797886061494,330.888781971851,1.2,18,13.4196177523198,76.9615953902096,0.638572795892482,,56,,,0.0420070986587341,856.99801103771,,1171081.30065918,4988.34707806192,66.67
86,Acacia Park,2,1,361,18.65,193,154,174,45.08,31.61,13.47,11.24,361,2.99009900990099,13.1162164740818,0.27742346510084,695.687367072021,1.2,18,4.8837835259182,28.0085303942516,0.251119147061678,92.9665217369445,11.4942528735632,04 Low Priority,89 - 99,0.107113798719614,1801.82200899443,Low Priority,2986379.50039673,7386.65803165799,54.92
87,Lakeside Park,4,1,33,49.61,5717,2940,5091,36.58,12.84,23.74,14.7,33,4.57267884322679,7.82780257448034,2.38311616723785,2398.95984870359,1,15,7.17219742551966,41.1325990433765,0.464992061669169,80.8736679690091,42.2510312315852,03 Low-Moderate Priority,79 - 89,0.92012629634743,6213.27748450885,Moderate Priority,25653329.6655579,20106.6703539475,63.42
88,Grant Road Commerical Block,1,0,84,0,0,0,0,0,0,0,0,84,7.275,3.82817846381499,0.0703114714455235,0,1.2,18,14.171821536185,,,,,,,0.0271474108990005,0,,760448.576416016,3873.71070054295,0
89,McIntyre-Richey,6,1,94,30.77,104,79,98,32.69,16.35,16.35,18.18,94,4.93650793650794,11.9573853404408,0.0623875200627857,1667.00006500236,1.2,18,6.0426146595592,34.65443450858,0.41867825051395,85.4909419873975,19.3877551020408,03 Low-Moderate Priority,79 - 89,0.0240879561655345,4317.51034771497,Moderate Priority,671551.494842529,4019.1508252223,67.31
90,Tres Pueblos,5,1,151,90.68,1856,695,1975,40.03,3.61,36.42,26,151,7.18518518518519,4.13477201965088,0.848362324168454,2187.74448973699,1,15,10.8652279803491,62.3121533772048,0.719782641898248,55.1487936197867,64.8101265822785,01 High Priority,0 - 64,0.327554524629344,5666.23221614851,High Priority,9131821.49404907,15066.2079604319,59.97
91,Menlo Park,1,1,66,81.56,5081,1971,4590,34.17,14.6,19.56,25.55,66,6.24030888030888,6.16030627100057,5.81190517023027,874.24000412565,1.2,18,11.8396937289994,67.9007208053849,0.675065223591862,54.1625847274643,57.0588235294118,01 High Priority,0 - 64,2.24398913176089,2264.27121597192,High Priority,62413640.4288025,47707.9952781657,65.83
92,Antigua Village,2,1,103,46.81,235,138,208,26.81,10.21,16.6,13.99,103,5.29166666666667,11.1975748873643,0.0213215418863302,11021.7169683523,0.5,7.5,0,0,0.482521009802806,100,33.6538461538462,04 Low Priority,99 - 100,0.00823229334668699,28546.1159003248,Low Priority,229513.981903076,1933.53029667387,73.19
93,Tanque Verde Place,2,1,373,23.08,13,9,10,46.15,38.46,7.69,0,373,5.68181818181818,8.77664631722223,0.0598035525060491,217.378390668097,1.2,18,9.22335368277777,52.895993565244,0.25378173194013,,10,,,0.0230902807137268,563.007447210102,,643753.86630249,3584.33152933695,53.85
94,Montage Vista,1,1,201,52.27,88,77,93,39.77,19.32,20.45,11.11,201,4.82434301521438,5.23706448877278,0.643367445670073,136.780312078655,1.2,18,12.7629355112272,73.1955184518283,0.391334407953032,,17.2043010752688,,,0.248405559541324,354.259381965888,,6924299.91616821,14235.1294084346,60.23
95,Jefferson Park,3,1,257,38.84,2312,874,2882,18.12,10.6,7.53,12.58,257,5.33520449077787,14.9469343106349,1.12467050454964,2055.71319835209,1,15,0.0530656893651003,0.304332074832266,0.562687199298964,99.8287562371558,69.6738376127689,04 Low Priority,99 - 100,0.434237709511584,5324.27274130673,Low Priority,12214344.2068481,15519.633332525,81.88
96,Dunbar Spring,1,1,216,52.07,1185,462,1082,18.73,8.78,9.96,14.42,216,4.71345029239766,13.1058366683762,0.624935825066247,1896.19470107092,1.2,18,4.8941633316238,28.0680586477151,0.555860164036285,84.398084315901,57.3012939001848,03 Low-Moderate Priority,79 - 89,0.241289071039994,4911.12173001646,Moderate Priority,6628648.90304565,10879.6838196375,81.27
97,Highland Vista Cinco Via,6,1,423,32.57,878,697,776,42.71,21.87,20.96,6.38,423,5.19421487603306,12.325178831884,0.650860438748131,1348.98351125589,1.2,18,5.674821168116,32.545136434817,0.309081618728775,89.9408965489779,10.180412371134,04 Low Priority,89 - 99,0.251298620343133,3493.85125473887,Low Priority,7006048.44589233,10581.0812298327,57.29
98,Williams Center,6,1,406,41.14,632,394,451,32.91,18.2,14.87,7.43,406,5.22404371584699,9.5506154817241,0.488069939501157,1294.89638441153,1.2,18,8.4493845182759,48.4572753556591,0.366789457721893,82.2263822496173,12.6385809312639,03 Low-Moderate Priority,79 - 89,0.188444857185435,3353.76623930943,Moderate Priority,5253734.70391846,10552.961857015,67.09
